post_id,permalink,post_message,type,date_posted,lifetime_post_total_reach,lifetime_post_total_impressions,lifetime_engaged_users,lifetime_post_impressions_who_liked
102088165248724_143811397743067,https://www.facebook.com/sugboanongsimbahan/posts/143811397743067,"PALANDONG | The Daily Gospel Reflection   Buhi Ug Pasagdi Ang Ginoo Gospel from Mark 10:28-31 Tuesday, 8th Week of the Ordinary Time May 25, 2021  By Rev. Fr. Kent Dahrel Galo  Do not forget to SUBSCRIBE IN YOUTUBE https://www.youtube.com/channel/UCJzgBBaaEtMKnCNQxCiRNSw  LIKE & FOLLOW US ON THE MEDIA PLATFORMS Facebook: https://www.facebook.com/sugboanongsimbahan Twitter: https://twitter.com/sugbosimbahan Instagram: https://www.instagram.com/sugboanongsimbahan  #SugboanongSimbahan??  #RCACNowOnline??  #500YoCCebu??  #GiftedToGiveCebu",Video,5/24/21 5:48 PM,1422,1456,87,633
102088165248724_143437094447164,https://www.facebook.com/sugboanongsimbahan/posts/143437094447164,"#PilgrimageUpdates -24 MAY 2021 | The faithful devotees and parishioners of San Antonio Abad Parish, Putat, Tuburan, Cebu welcome the 2021 JUBILEE CROSS and the Pilgrim Image of Sn?r. Sto. Nin?o de Cebu.  Tomorrow the Pilgrimage will visit St. John the Baptist Parish, Tabuelan, Cebu.  #SugboanongSimbahan #500YoCCebu #GiftedToGive",Photo,5/24/21 2:27 AM,9287,10190,826,3799
102088165248724_143312437792963,https://www.facebook.com/sugboanongsimbahan/posts/143312437792963,"""Irregardless of where we are, whether we did great things or ordinary things, what is important is to believe that God loves us, to believe that Mama Mary loves us. As long as we try to perform even the little things we do, and as we try to serve with love in our hearts, then know that this is the Christian way.""   - Cebu Archbishop Jose S. Palma on his homily during the Fiesta Pontifical Mass in honor of Mary Help of Christians at Mary Help of Christians Parish - Buhisan (24 May 2021)   #SugboanongSimbahan #500YoCCebu #GiftedToGiveCebu",Photo,5/23/21 8:45 PM,2587,2601,178,1651
102088165248724_143307564460117,https://www.facebook.com/sugboanongsimbahan/posts/143307564460117,"""Many are still afraid but if the Lord is there, the message is: Let us not fear. Let us deepen our faith. Let us implore the help of Mama Mary because she is the help of Christians, and she is our mother too.""   - Cebu Archbishop Jose S. Palma on his homily during the Fiesta Pontifical Mass in honor of Mary Help of Christians at Mary Help of Christians Parish - Buhisan (24 May 2021)   #SugboanongSimbahan #500YoCCebu #GiftedToGiveCebu",Photo,5/23/21 8:33 PM,2844,2844,173,1648
102088165248724_143289497795257,https://www.facebook.com/sugboanongsimbahan/posts/143289497795257,"ATM | Cebu Archbishop Jose S. Palma presides over the Fiesta Pontifical Mass in honor of Mary Help of Christians at Mary Help of Christians Parish, Buhisan, Cebu City.  #SugboanongSimbahan #500YoCCebu #GiftedtoGiveCebu",Photo,5/23/21 7:45 PM,7952,10764,588,5552
102088165248724_143229174467956,https://www.facebook.com/sugboanongsimbahan/posts/143229174467956,"?????????? ???? ????????, ???????????? ???? ?????? ????????????  In 2018, Pope Francis declared that the ancient devotion to Mother Mary as Mother in the Church be inserted in the Roman Calendar. On February 11, 2018, the Congregation of Divine Worship and the Discipline of the Sacraments issued the document of the said decree.  ""Indeed, the Mother standing beneath the cross (cf. Jn 19:25), accepted her Son’s testament of love and welcomed all people in the person of the beloved disciple as sons and daughters to be reborn unto life eternal. She thus became the tender Mother of the Church which Christ begot on the cross handing on the Spirit. Christ, in turn, in the beloved disciple, chose all disciples as ministers of his love towards his Mother, entrusting her to them so that they might welcome her with filial affection."" (Decree on the celebration of the Blessed Virgin Mary, Mother of the Church in the General Roman Calendar).  #SugboanongSimbahan #500YoCCebu #GiftedToGiveCebu #RCACNowOnline",Photo,5/23/21 5:00 PM,10590,10590,1138,2293
102088165248724_143150144475859,https://www.facebook.com/sugboanongsimbahan/posts/143150144475859,"PALANDONG | The Daily Gospel Reflection   Makapili ba ka sa gipapili sa Ginoo? Gospel from John 19:25-34 Memorial of Mary, Mother of the Church Monday, 8th Week of the Ordinary Time May 24, 2021  By Rev. Fr. Loreto Jumao-as  Do not forget to SUBSCRIBE IN YOUTUBE https://www.youtube.com/channel/UCJzgBBaaEtMKnCNQxCiRNSw  LIKE & FOLLOW US ON THE MEDIA PLATFORMS Facebook: https://www.facebook.com/sugboanongsimbahan Twitter: https://twitter.com/sugbosimbahan Instagram: https://www.instagram.com/sugboanongsimbahan  #SugboanongSimbahan??  #RCACNowOnline??  #500YoCCebu??  #GiftedToGiveCebu",Video,5/23/21 12:45 PM,1444,1533,73,660
102088165248724_143019381155602,https://www.facebook.com/sugboanongsimbahan/posts/143019381155602,"#PilgrimageUpdates -23 MAY 2021 | The faithful devotees and parishioners of Archdiocesan Shrine of St. Anthony of Padua, Parish, Tuburan, Cebu welcome the 2021 JUBILEE CROSS and the Pilgrim Image of Sn?r. Sto. Nin?o de Cebu.  Tomorrow the Pilgrimage will visit San Antonio Abad Parish, Putat, Tuburan  #SugboanongSimbahan #500YoCCebu #GiftedToGive",Photo,5/23/21 7:43 AM,14124,15942,1262,4456
102088165248724_142946547829552,https://www.facebook.com/sugboanongsimbahan/posts/142946547829552,"""May this jubilee and the other jubilees bring about a renewal in us and make us as well agents of renewal in the face of the earth. Today, it's good to realize, as we come to the Lord asking forgiveness, It is also our way of saying, 'Yes, we know Lord, You forgive us. We try to forgive one another, to reach out to each other in friendship.' - and because of that, when we start of the idea that henceforth we are friends, wala na anger, doubts in our hearts against each other, then we can start all over again. We can start in the renewal""   - Cebu Archbishop Jose S. Palma on his homily during the Feast of the Pentecost and the celebration of the Jubilee of Charismatic Communities at the IEC Convention Center (IC3), Pope John Paul II St., Cebu City (23 May 2021)   #SugboanongSimbahan #500YoCCebu #GiftedtoGiveCebu",Photo,5/23/21 5:07 AM,4462,4462,295,2114
102088165248724_140075184783355,https://www.facebook.com/sugboanongsimbahan/posts/140075184783355,"Day 23 - HOLY ROSARY INTENTION We pray for all law enforcement and military personnel and for all firefighters.  Our Lady of Cap (Canada) #SugboanongSimbahan -------- Pope Francis is requesting that during this month of May the entire Church invoke the intercession of the Blessed Virgin Mary for the end of the pandemic and, in a special way, he is inviting all of us to pray fervently for those most closely affected by it.   During each day of May, guided by a calendar with specific intentions, all the Shrines around the world, united in a communion of supplication, will lift up their prayers, which, like the fragrance of incense, will rise up to heaven.   Thirty (30) Marian Shrines will take turns leading this prayer throughout the Church and offering the faithful a series of prayer moments for them to participate throughout the entire day.  This initiative is led by the Pontifical Council for the Promotion of New Evangelization.  ------ THE RECITATION OF THE HOLY ROSARY (The prayer of the Holy Rosary may begin with the lighting of a few candles from the previously lit candle before the image of Our Lady. The celebrant explains the meaning of the gesture and the day’s prayer intention in view of the pandemic and the particular needs of that geographic region. The following text may be used, adapting it according to the needs of the place and situation.)  Dear Brothers and Sisters, in communion with the Holy Father following the example of the first Christian communities in this time of great trial, we lift up to the Lord through the intercession of the Blessed Virgin Mary, unceasing supplications for the end of the pandemic.  Today, in particular, at this Shrine of [insert name of Shrine] we wish to pray for [insert prayer intention found in the appendix]. May these candles, lit from the candle that burns before the image of Our Lady, may illuminate and transform this moment of darkness into an aurora of new light.  We invite all those who follow us through our web channels to join spiritually in the recitation of this Holy Rosary with their families.   The recitation of the Holy Rosary according to the local tradition follows. At the end, after the singing of the Salve Regina and the recitation of the Litanies, the celebrant and the faithful present address the following prayer to Our Lady:  We fly to your protection,  O Holy Mother of God. In the present tragic situation,  when the whole world is prey to suffering and anxiety, we fly to you, Mother of God and our Mother, and seek refuge under your protection.  Virgin Mary, turn your merciful eyes towards us amid this coronavirus pandemic. Comfort those who are distraught and mourn their loved ones who have died, and at times are buried in a way that grieves them deeply.  Be close to those who are concerned for their loved ones who are sick and who, in order to prevent the spread of the disease, cannot be close to them.  Fill with hope those who are troubled by the uncertainty of the future and the consequences for the economy and employment.  Mother of God and our Mother, pray for us to God, the Father of mercies, that this great suffering may end and that hope and peace may dawn anew.   Plead with your divine Son,  as you did at Cana, so that the families of the sick and the victims be comforted, and their hearts be opened to confidence and trust.  Protect those doctors, nurses, health workers and volunteers who are on the frontline of this emergency, and are risking their lives to save others.  Support their heroic effort and grant them strength, generosity, and continued health.  Mary, Consolation of the afflicted, embrace all your children in distress and pray that God will stretch out his all-powerful hand and free us from this terrible pandemic, so that life can serenely resume its normal course.  To you, who shine on our journey as a sign of salvation and hope, do we entrust ourselves, O Clement, O Loving, O Sweet Virgin Mary. Amen.  ------ FAREWELL GREETING TO MOTHER MARY  Remember, O most gracious Virgin Mary, that never was it known that anyone who fled to thy protection, implored thy help, or sought thy intercession, was left unaided.  Inspired by this confidence I fly unto thee, O Virgin of virgins, my Mother. To thee do I come, before thee I stand, sinful and sorrowful.  O Mother of the Word Incarnate, despise not my petitions, but in thy mercy hear and answer me. Amen.",Photo,5/23/21 3:00 AM,3880,3905,185,1816
102088165248724_384350146159044,https://www.facebook.com/sugboanongsimbahan/videos/384350146159044/,Happy Pentecost Sunday,Video,5/22/21 10:57 PM,1071,1103,75,750
102088165248724_528019564895534,https://www.facebook.com/sugboanongsimbahan/videos/528019564895534/,Happy Pentecost Sunday,Video,5/22/21 10:52 PM,881,903,54,648
102088165248724_142774407846766,https://www.facebook.com/sugboanongsimbahan/posts/142774407846766,"ATM | On this Feast of the Pentecost, Cebu Archbishop Jose S. Palma presides over the Holy Mass in celebration of the Jubilee for Charismatic Communities at the IEC Convention Center (IC3), Pope John Paul II St., Cebu City.  #SugboanongSimbahan #500YoCCebu #GiftedtoGiveCebu",Photo,5/22/21 9:28 PM,7250,8019,656,4828
102088165248724_294127372375603,https://www.facebook.com/sugboanongsimbahan/videos/294127372375603/,Happy Pentecost Sunday,Video,5/22/21 7:51 PM,1404,1441,179,936
102088165248724_142737467850460,https://www.facebook.com/sugboanongsimbahan/posts/142737467850460,"""The Holy Spirit is the life of the Church - and the Spirit gives us various gifts. Gipahinumduman kita nga kining gasa dili lamang personal, tungod kay kini alang sa serbisyo sa komunidad. The Lord does not give a gift simply for the sake of the person, privately - but for the sake of the community. Mao kini ang papel sa Espiritu Santo, to gather as all as one family.""   - Cebu Archbishop Jose S. Palma on the Solemnity of Pentecost and Patronal Feast of St. Joseph at St. Joseph the Patriarch Parish, Mabolo, Cebu City (23 May 2021)   #SugboanongSimbahan #500YoCCebu #GiftedtoGive",Photo,5/22/21 7:48 PM,5820,5820,423,2145
102088165248724_142728207851386,https://www.facebook.com/sugboanongsimbahan/posts/142728207851386,"ATM | Cebu Archbishop Jose S. Palma celebrates the Solemnity of Pentecost at the St. Joseph the Patriarch Parish, Mabolo, Cebu City.   Today is also the patronal feast of St. Joseph in the parish church of Mabolo. However, today's Solemnity takes precedence over all other celebrations.   #SugboanongSimbahan #500YoCCebu #GiftedtoGiveCebu",Photo,5/22/21 7:22 PM,119306,124707,14587,7740
102088165248724_142673331190207,https://www.facebook.com/sugboanongsimbahan/posts/142673331190207,"As we celebrate Pentecost Sunday, may we ask the Holy Spirit to be more courageous in proclaiming the Good News especially during these times. Let us be concrete in manifesting God's love through concrete ways.  #SugboanongSimbahan #500YoCCebu #GiftedToGiveCebu #PentecostSunday #Pentecost2021",Photo,5/22/21 4:45 PM,6219,6319,499,2134
102088165248724_4034081606671613,https://www.facebook.com/sugboanongsimbahan/videos/4034081606671613/,THE HOLY SPIRIT CONTINUES TO BE WITH US | Pentecost Sunday Reflections 2021,Video,5/22/21 3:00 PM,3314,3449,290,1461
102088165248724_142628051194735,https://www.facebook.com/sugboanongsimbahan/posts/142628051194735,"The Cebu Archdiocesan Digital Communications Program which is responsible for maintaining, updating and innovating the official social media pages (Facebook, Instagram, Twitter and YouTube) and the official website: archdioceseofcebu.ph and all other virtual presence of the Archdiocese finally finds it physical home and office at the 4th Floor of the Cebu Caritas Building, P. Gomez St., Cebu City.  The formal opening and blessing was led by Msgr. Renato Beltran Jr., The Cebu Archdiocesan Chancellor and was attended to by the generous benefactors, collaborators and the volunteers of the program.  Hence, we are now open both virtually and physically and ready to serve you and the Archdiocese.  #hiniusangsimbahan #SugboanongSimbahan",Photo,5/22/21 2:21 PM,4523,4887,276,3078
102088165248724_142435451213995,https://www.facebook.com/sugboanongsimbahan/posts/142435451213995,"THE HOLY SPIRIT CONTINUES TO BE WITH US. | To end the season of Easter, Cebu Archbishop Jose S. Palma shares his reflections on Pentecost Sunday. What could be your greatest gift that can help the Church grow more in charity and lead to a deeper relationship with God?  #SugboanongSimbahan  #500YoCCebu #GiftedToGiveCebu",Status,5/22/21 6:34 AM,943,953,21,707
102088165248724_142427727881434,https://www.facebook.com/sugboanongsimbahan/posts/142427727881434,"ATM | Cebu Archbishop Jose S. Palma leads the Unveiling of the Design of the Future Sanctuario at the Parroquia de Virgen de los Remedios, Guindarohan, Minglanilla.   This also aims to gather resources for the on-going parish construction.   For more details, VISIT: https://www.facebook.com/PVRGuindarohan/  #SugboanongSimbahan",Photo,5/22/21 6:16 AM,11690,12708,1019,4530
102088165248724_142371614553712,https://www.facebook.com/sugboanongsimbahan/posts/142371614553712,"#PilgrimageUpdates -22 MAY 2021 | The faithful devotees and parishioners of Nuestra Señora Virgen delos Remedios Parish, Colonia, Tuburan, Cebu welcome the 2021 JUBILEE CROSS and the Pilgrim Image of Sn?r. Sto. Nin?o de Cebu.  Tomorrow the Pilgrimage will visit Archdiocesan Shrine of St. Anthony of Padua, Parish, Tuburan, Cebu  #SugboanongSimbahan #500YoCCebu #GiftedToGive",Photo,5/22/21 3:53 AM,5211,5312,368,3028
102088165248724_505912214101213,https://www.facebook.com/sugboanongsimbahan/videos/505912214101213/,DAY 3 TRIDUUM,Video,5/22/21 3:28 AM,841,841,48,585
102088165248724_140069898117217,https://www.facebook.com/sugboanongsimbahan/posts/140069898117217,"Day 22 - HOLY ROSARY INTENTION We pray for all volunteers.  Our Lady of Montserrat (Spain)  #SugboanongSimbahan -------- Pope Francis is requesting that during this month of May the entire Church invoke the intercession of the Blessed Virgin Mary for the end of the pandemic and, in a special way, he is inviting all of us to pray fervently for those most closely affected by it.   During each day of May, guided by a calendar with specific intentions, all the Shrines around the world, united in a communion of supplication, will lift up their prayers, which, like the fragrance of incense, will rise up to heaven.   Thirty (30) Marian Shrines will take turns leading this prayer throughout the Church and offering the faithful a series of prayer moments for them to participate throughout the entire day.  This initiative is led by the Pontifical Council for the Promotion of New Evangelization.  ------ THE RECITATION OF THE HOLY ROSARY (The prayer of the Holy Rosary may begin with the lighting of a few candles from the previously lit candle before the image of Our Lady. The celebrant explains the meaning of the gesture and the day’s prayer intention in view of the pandemic and the particular needs of that geographic region. The following text may be used, adapting it according to the needs of the place and situation.)  Dear Brothers and Sisters, in communion with the Holy Father following the example of the first Christian communities in this time of great trial, we lift up to the Lord through the intercession of the Blessed Virgin Mary, unceasing supplications for the end of the pandemic.  Today, in particular, at this Shrine of [insert name of Shrine] we wish to pray for [insert prayer intention found in the appendix]. May these candles, lit from the candle that burns before the image of Our Lady, may illuminate and transform this moment of darkness into an aurora of new light.  We invite all those who follow us through our web channels to join spiritually in the recitation of this Holy Rosary with their families.   The recitation of the Holy Rosary according to the local tradition follows. At the end, after the singing of the Salve Regina and the recitation of the Litanies, the celebrant and the faithful present address the following prayer to Our Lady:  We fly to your protection,  O Holy Mother of God. In the present tragic situation,  when the whole world is prey to suffering and anxiety, we fly to you, Mother of God and our Mother, and seek refuge under your protection.  Virgin Mary, turn your merciful eyes towards us amid this coronavirus pandemic. Comfort those who are distraught and mourn their loved ones who have died, and at times are buried in a way that grieves them deeply.  Be close to those who are concerned for their loved ones who are sick and who, in order to prevent the spread of the disease, cannot be close to them.  Fill with hope those who are troubled by the uncertainty of the future and the consequences for the economy and employment.  Mother of God and our Mother, pray for us to God, the Father of mercies, that this great suffering may end and that hope and peace may dawn anew.   Plead with your divine Son,  as you did at Cana, so that the families of the sick and the victims be comforted, and their hearts be opened to confidence and trust.  Protect those doctors, nurses, health workers and volunteers who are on the frontline of this emergency, and are risking their lives to save others.  Support their heroic effort and grant them strength, generosity, and continued health.  Mary, Consolation of the afflicted, embrace all your children in distress and pray that God will stretch out his all-powerful hand and free us from this terrible pandemic, so that life can serenely resume its normal course.  To you, who shine on our journey as a sign of salvation and hope, do we entrust ourselves, O Clement, O Loving, O Sweet Virgin Mary. Amen.  ------ FAREWELL GREETING TO MOTHER MARY  Remember, O most gracious Virgin Mary, that never was it known that anyone who fled to thy protection, implored thy help, or sought thy intercession, was left unaided.  Inspired by this confidence I fly unto thee, O Virgin of virgins, my Mother. To thee do I come, before thee I stand, sinful and sorrowful.  O Mother of the Word Incarnate, despise not my petitions, but in thy mercy hear and answer me. Amen.",Photo,5/22/21 3:00 AM,4716,4716,144,1796
102088165248724_142160704574803,https://www.facebook.com/sugboanongsimbahan/posts/142160704574803,"SPFY: Spiritual-Pastoral Culmination Year 2021 (Seminary Formation of Intense Spiritual and Pastoral Formation) with His Excellency Most Rev. Jose S. Palma, DD, Archbishop of Cebu.  #SugboanongSimbahan  https://www.facebook.com/calungsodshrine/videos/269364698205859/",SharedVideo,5/21/21 5:32 PM,1368,1383,108,1069
